construction,k,initiator_tier,tier_name,state,reachable_unconstrained,reachable_self_reachable,min_earth_in_q1,phase2_threshold
crumbling_wall_5_1_1_3,3,3,Earth,"(1,1)",1,1,3,3
crumbling_wall_5_1_1_3,3,3,Earth,"(1,0)",0,0,3,3
crumbling_wall_5_1_1_3,3,3,Earth,"(0,1)",0,0,3,3
crumbling_wall_5_1_1_3,3,3,Earth,"(0,0)",1,1,3,3
crumbling_wall_5_1_1_3,4,0,Mars,"(1,1)",1,1,2,4
crumbling_wall_5_1_1_3,4,0,Mars,"(1,0)",1,1,2,4
crumbling_wall_5_1_1_3,4,0,Mars,"(0,1)",1,1,2,4
crumbling_wall_5_1_1_3,4,0,Mars,"(0,0)",1,1,2,4
crumbling_wall_5_1_1_3,4,1,Moon,"(1,1)",1,1,2,4
crumbling_wall_5_1_1_3,4,1,Moon,"(1,0)",1,1,2,4
crumbling_wall_5_1_1_3,4,1,Moon,"(0,1)",1,1,2,4
crumbling_wall_5_1_1_3,4,1,Moon,"(0,0)",1,1,2,4
crumbling_wall_5_1_1_3,4,2,LEO,"(1,1)",1,1,2,4
crumbling_wall_5_1_1_3,4,2,LEO,"(1,0)",1,1,2,4
crumbling_wall_5_1_1_3,4,2,LEO,"(0,1)",1,0,2,4
crumbling_wall_5_1_1_3,4,2,LEO,"(0,0)",1,1,2,4
crumbling_wall_5_1_1_3,4,3,Earth,"(1,1)",1,1,2,4
crumbling_wall_5_1_1_3,4,3,Earth,"(1,0)",1,1,2,4
crumbling_wall_5_1_1_3,4,3,Earth,"(0,1)",0,0,2,4
crumbling_wall_5_1_1_3,4,3,Earth,"(0,0)",1,1,2,4
crumbling_wall_5_1_1_3,5,0,Mars,"(1,1)",1,1,1,5
crumbling_wall_5_1_1_3,5,0,Mars,"(1,0)",1,1,1,5
crumbling_wall_5_1_1_3,5,0,Mars,"(0,1)",1,1,1,5
crumbling_wall_5_1_1_3,5,0,Mars,"(0,0)",1,1,1,5
crumbling_wall_5_1_1_3,5,1,Moon,"(1,1)",1,1,1,5
crumbling_wall_5_1_1_3,5,1,Moon,"(1,0)",1,1,1,5
crumbling_wall_5_1_1_3,5,1,Moon,"(0,1)",1,1,1,5
crumbling_wall_5_1_1_3,5,1,Moon,"(0,0)",1,1,1,5
crumbling_wall_5_1_1_3,5,2,LEO,"(1,1)",1,1,1,5
crumbling_wall_5_1_1_3,5,2,LEO,"(1,0)",1,1,1,5
crumbling_wall_5_1_1_3,5,2,LEO,"(0,1)",1,0,1,5
crumbling_wall_5_1_1_3,5,2,LEO,"(0,0)",1,1,1,5
crumbling_wall_5_1_1_3,5,3,Earth,"(1,1)",1,1,1,5
crumbling_wall_5_1_1_3,5,3,Earth,"(1,0)",1,1,1,5
crumbling_wall_5_1_1_3,5,3,Earth,"(0,1)",0,0,1,5
crumbling_wall_5_1_1_3,5,3,Earth,"(0,0)",1,0,1,5
